id,trigger,conditions,script,text,options,notes
bairdIntroArchive2,DialogOptionSelected,$option == bairdIntro_archive1,"$bairdIntro_archive = true 0
BeginMission gaKA","""Предположим, что на кону стоят его будущие карьерные возможности. Упомяни меня. Если вы будете тверды, но сдержанны, я думаю, вы настроите его помочь нам.""","bairdIntro_archive2b:""Райан Арройо. Понял.""
bairdIntro_archive2a:""Вы хотите, чтобы я шантажировал руководителя Tri-Tachyon?""
",
bairdIntro_archive2aSel,DialogOptionSelected,$option == bairdIntro_archive2a,FireBest BairdIntroCheckOutro,"""Совсем нет. Я,"" она говорит это с ударением, ""Я была просто внимательна, когда руководитель Tri-Tachyon поставил под угрозу корпоративную безопасность, чтобы продвинуться по карьерной лестнице в сравнении с конкурентом""

""Он понимает ценность заключенной им сделки и только благодаря этому обогнал соперника. Вы найдете его весьма сговорчивым.""",,
bairdIntro_archive2bSel,DialogOptionSelected,$option == bairdIntro_archive2b,FireBest BairdIntroCheckOutro,"""Он скомпрометировал корпоративную безопасность, чтобы обогнать соперника по карьерной лестнице. Он понимает ценность сделки, которую заключил со мной."" Она почти улыбается, ""Вы найдете его вполне сговорчивым, как только преодолеете его раздутое чувство собственной важности.""",,
bairdIntroScyllaSel,DialogOptionSelected,$option == bairdIntro_scylla,,"""Что касается вундеркинда Галатии..."" Бэйрд замолкает. Это сожаление? Взгляд быстро меняется.",bairdIntro_scylla1:Продолжить,
bairdIntroScylla1,DialogOptionSelected,$option == bairdIntro_scylla1,"BeginMission gaFC
Call $global.gaFC_ref updateData","""Курез всегда был странным человеком. Блестящая, да, но у нее была манера отвлекаться на участие в, хм, антагонистических субкультурах."" Бэйрд машет рукой, отмахиваясь от этого вопроса как от социологического пустяка. ""Возможно, репрессии Гегемонии излечили ее от этого детского жеманства.""

""Ее семья и, предположительно, друзья,"" на мгновение вы задаетесь вопросом, есть ли у Бэйрда что-нибудь из этого, ""-они из Фикенхильда, в западной системе. Вы могли бы начать с этого."" ",bairdIntro_scylla2:Продолжить,
bairdIntroScylla2,DialogOptionSelected,$option == bairdIntro_scylla2,$bairdIntro_scylla = true 0,"Бэйрд на мгновение задумывается, затем говорит ""Если вас заподозрят в поисках Курезы, то с вами могут связаться другие люди, которые ее ищут. Это может быть полезно. Ты мог бы заключить сделку, получить кое-какие зацепки.""

""Кроме того, ее отдел работал с экспериментальными пакетами в системе $gaFC_starName. Мы обнаружили некоторую текущую телеметрию, которая предполагает, что эти приборы все еще используются кем-то, хотя неясно, кем."" Она постукивает по интерфейсу своего стола, ""Я отправила вам координаты.""

Ректор смотрит на вас поверх очков. ""Как вы хотите справиться с этим, капитан? Вы дипломат или исследователь? Вы хотите найти зонды в системе $gaFC_starName или поговорить об этом на Фикенхильде?"" ","bairdIntro_scylla2choiceB:Выбрать дипломатический путь
bairdIntro_scylla2choiceA:Выбрать путь исследователя",
bairdIntroScylla2choiceA,DialogOptionSelected,$option == bairdIntro_scylla2choiceA,"$global.gaFC_pickedBranchProbes = true
Call $global.gaFC_ref updateStage
Call $global.gaFC_ref updateData","Бэйрд кивает, ""Конечно. В глубине души вы... скажем так, авантюрист, не так ли?""

""Если вы хотите изменить свой подход, вы должны дать мне знать, чтобы я могла убедиться, что у вас есть вся необходимая информация.""",bairdIntro_scylla3:Продолжить,
bairdIntroScylla2choiceB,DialogOptionSelected,$option == bairdIntro_scylla2choiceB,"$global.gaFC_pickedBranchFikenhild = true
Call $global.gaFC_ref updateStage
Call $global.gaFC_ref updateData","Baird nods, ""Я так и думала. Нет такой проблемы, с которой, как вы считаете, нельзя справиться, не так ли?""

""Если вы хотите изменить свой подход, вы должны дать мне знать, чтобы я могла убедиться, что у вас есть вся необходимая информация.""",bairdIntro_scylla3:Продолжить,
bairdIntroScylla3,DialogOptionSelected,$option == bairdIntro_scylla3,,"""Когда вы найдете Сциллу Курез, я ожидаю, что она не захочет сотрудничать. Я передала вам зашифрованное сообщение. Это, э-э, мое личное обращение к ней. Это должно убедить её.""","bairdIntro_scylla4b:""Я уверен, что так и будет.""
bairdIntro_scylla4a:""Стоит ли я шантажировать Курез для тебя?""",
bairdIntroScylla4a,DialogOptionSelected,$option == bairdIntro_scylla4a,FireBest BairdIntroCheckOutro,"""Вам не нужно быть таким заговорщиком, капитан,"" Бэйрд предостерегает, ""Не все решается плащом и кинжалом, шантажом и взятками.""

""Наш экс-академик избегал всех контактов с академией Галатии, так как гегемония арестовала большинство её коллег. Я вполне ценю ее рациональную реакцию на эту кампанию научного подавления, но теперь она нужна для той роли, которую ей предназначено сыграть.""",,
bairdIntroScylla4b,DialogOptionSelected,$option == bairdIntro_scylla4b,FireBest BairdIntroCheckOutro,"""Действительно,"" говорит Бэйрд, пристально глядя на тебя. ""Ее трепет-рациональная реакция на предыдущие события: расследования, аресты, показательный суд над Каллихором. Но условия изменились и она необходима, если мы хотим выбраться из застойных локальных максимумов.""

Бэйрд поворачивается к окну. ""Я позвоню, Сцилла ответит,"" говорит она. Прокламация?",,
bairdIntro_archiveCheckOutro1,BairdIntroCheckOutro,!$bairdIntro_scylla,,,bairdIntro_scylla:У вас есть какие-нибудь зацепки по этой Сцилле Курез?,
bairdIntro_archiveCheckOutro2,BairdIntroCheckOutro,!$bairdIntro_archive,,,bairdIntro_archive:Как я могу получить архив Каллихора от Гегемонии?,
bairdIntro_archiveCheckOutro3,BairdIntroCheckOutro,"$bairdIntro_scylla
$bairdIntro_archive",,,bairdIntro_outro1:Продолжить,
bairdIntro_outro1,DialogOptionSelected,$option == bairdIntro_outro1,AddStoryPoints 1,"""Найдите архив Каллихора. Найди Сциллу Курез. Как только вы выполните обе эти миссии, проект может перейти к следующему этапу."" Бэйрд улыбается, ""И вот тогда все становится захватывающим.""","bairdIntro_outro2:""И это все?""
bairdIntro_project:""Так что же такое 'проект'?""",
bairdIntro_outroProject,DialogOptionSelected,$option == bairdIntro_project,,"Улыбка Бэйрд не достигает глаз. ""Вы увидите.""",bairdIntro_outro2:Продолжить,
bairdIntro_outro2,DialogOptionSelected,$option == bairdIntro_outro2,"EndConversation DO_NOT_FIRE
FireAll PopulateOptions
ShowDefaultVisual","Она поворачивается к своему настольному дисплею и начинает вводить последовательность команд, на сегодня с вами покончено.

""Добрый день, капитан,"" сказала она, не поднимая глаз., ""Вы можете связаться со мной по связи, для дополнительного анализа, по мере развития операции, хотя я ожидаю, что вы проявите свою инициативу.""

""Ах да, я повторно разрешила академику Себастьяну доступ к вашему файлу с заданием на миссию. Выполнение его небольших заданий может стать хорошим прикрытием для вашей реальной работы и позволит нам направить вам дополнительные кредиты.""

Вы чувствуете едва уловимое движение воздуха, когда двери бесшумно открываются позади вас. Охранники в зеркальных масках окружают младшего агента, который ждет, чтобы сопроводить вас обратно к вашему шаттлу.",,
,,,,,,
# The Kallichore Archive story mission,,,,,,
# Arroyo conversation,,,,,,
gaKAArroyoGreeting,PickGreeting,"$id == arroyo
$gaKA_contact score:1000",ShowPersonVisual,"Ваш офицер связи подключает ваш личный терминал к локальной сети. Вы активируете поле подавления звука вокруг своего командного пункта и вводите идентификатор связи, предоставленный вам ректором Бэйрдом. Анимированный логотип какого-либо подразделения Tri-Tachyon делает пол-оборота, прежде чем на звонок отвечают.

""Арройо слушает. Кто со мной разговаривает?"" Райан Арройо оглядывает тебя, как будто осматривает корпус звездолета на предмет царапин. Кажется, он находит в тебе что-то, что не совсем одобряет. 

""Кто дал тебе мой идентификатор связи?"" требует он.","gaKA_arroyoProblem:""Мне сказали, что вы можете помочь мне решить одну проблему.""
gaKA_arroyoProvost:""Ректор Анахита Бэйрд.""",
gaKAArroyoGreetingIgnoreCall,PickGreeting,"$id == arroyo
$market.gaKA_visitChalet score:1000",,"Ваш звонок соединяется с автоответчиком. Анимированный логотип дочерней компании Tri-Tachyon бесконечно вращается на вашем дисплее. Через полминуты и во второй раз, когда голос говорит вам, что ваше терпение оценено по достоинству, вы приходите к выводу, что ваш звонок игнорируется.

Арройо хочет обсудить дела лично.",cutCommLink:Отключить связь,
gaKAArroyoProblemSel,DialogOptionSelected,$option == gaKA_arroyoProblem,,"""Решите проблему."" Он говорит это так, как будто речь идет о вопросе, не стоящем его внимания.

""Я не решаю проблемы, приятель. Я плачу людям, чтобы они решали за меня проблемы. У тебя есть проблемы? Поговорите с верфью и устраните утечку кислорода. Меня не волнует ваша проблема, если только ваша проблема не семь или восемь нолей наличными на счету, которые вам нужно пустить в дело.""

Он начинает кричать. Создается впечатление, что он получает удовольствие от такого рода издевательств. 

""Хватит тратить мое время впустую? А теперь скажи мне, кто дал тебе мой номер, потому что я собираюсь уволить их сразу после того, как оборву эту связь.""","gaKA_arroyoProvost:""Ректор Анахита Бэйрд.""",
gaKAArroyoProvostSel,DialogOptionSelected,$option == gaKA_arroyoProvost,,"На мгновение вам кажется, что вы видите волну паники на лице Арройо. На смену ему приходит дерзкая ухмылка, ""О, конечно, конечно - благотворительный фонд Академии Галатии. Как я мог забыть?""

""Здесь,"" он нажимает на что-то и ваш коммуникатор отображает набор координат с кодом посадочного маяка. 

""Садись на шаттл. Мы можем поговорить о фонде. Я уверен, что у ректора есть захватывающие планы и я хочу услышать о них все-"" Он на мгновение поднимает глаза вверх и снова опускает их, чтобы посмотреть прямо на вас. ""Лично.""",gaKA_arroyoProvost2:Продолжить,
gaKAArroyoProvostSel2,DialogOptionSelected,$option == gaKA_arroyoProvost2,"$toldToVisitChalet = true
$global.gaKA_visitArroyo = true
Call $global.gaKA_ref updateStage","Он ведет себя так, как будто все это было совершенно ожидаемо. ""Вы когда-нибудь были на планете? Не считается, если это просто аркология. Я проведу для вас экскурсию по моему загородному дому. Захватывающие виды, вам понравится. До скорой встречи.""

Он отключается прежде, чем вы успеете ответить.",cutCommLinkNoText:Продолжить,
gaKAArroyoVisitOption,PopulateOptions,"$hasMarket
$market.id == eochu_bres
$menuState == main
$market.gaKA_visitChalet",#SetOptionColor gaKA_visitChalet highlight,,3:gaKA_visitChalet:Взять транспорт до загородного дома Райана Арройо на поверхности,
gaKAArroyoVisitStart,DialogOptionSelected,$option == gaKA_visitChalet,,"Ваш шаттл спускается в молодую атмосферу Эочу Бреса, сквозь высокие зубчатые стены облаков, которые бросают брызги дождя на обзорный иллюминатор, который в мгновение ока вытирается жаром и скоростью вашего спуска.

Траектория полета вскоре отклоняется от общего коридора для посадок, который облагается незначительными сборами, за использование от принадлежащему Tri-Tachyon координатору полетами: плата за общий доступ, плата за полосу приоритетного полета, плата за обслуживание, плата за страхование удовлетворенности клиентов, плата за обход рекламы - вы отмахиваетесь от уведомлений и сосредотачиваетесь на пейзаже.",gaKA_arroyoVisit1:Продолжить,
gaKAArroyoVisit1,DialogOptionSelected,$option == gaKA_arroyoVisit1,,"Оставив позади аркологию Три-Тахов, алмаз, растущий на кучах обломков многоярусных трущоб. Над трубопроводами-стально-голубой залив, зубчатые фьорды, прерываемые ледяными заторами и оползнями. Вверх и над огромным осыпающимся откосом, похожим на черную волну, которая заполняет горизонт; вы пересекаете ландшафт странно окрашенной тундры, испещренной тысячами молочно-зеленых озер.

На горизонте возвышается новая горная гряда, разорванная пополам катастрофическими работами терраформеров, а за ней - хаос крутых долин, населенных карликовыми соснами и тонкими белыми водопадами. Навигационная система издает сигнал, указывающий на скорое прибытие и вы видите частный загородный дом Арройо: небольшой комплекс радикальной геометрической архитектуры, окруженный низкими хозяйственными постройками.

Ваш шаттл приближается к эллипсоидной посадочной площадке, которая, кажется, висит в разреженном воздухе над ущельем.",gaKA_arroyoVisit2:Продолжить,
gaKAArroyoVisit2,DialogOptionSelected,$option == gaKA_arroyoVisit2,,"Человек и робот - слуга безмятежно приветствуют вас, когда вы прибываете и ведут вас внутрь в большую гостиную, выполненную в темном геометрическом стиле. Золотая инкрустация поблескивает на ониксовых столешницах, а полированный гранитный пол устлан со вкусом, узорчатыми коврами драгоценных тонов, уложенными немного наискосок.

Вид из безупречного эркера с алмазной матрицей, как и обещал Арройо, потрясающий.",gaKA_arroyoVisit3:Продолжить,
gaKAArroyoVisit3,DialogOptionSelected,$option == gaKA_arroyoVisit3,BeginConversation arroyo false true,"Райан Арройо сидит в одном из баров. Он приветствует ваше появление кивком, когда слуги исчезают. Он постукивает двумя пальцами по датападу. Вы слышите мягкий сигнал потери сигнала с вашего датапада и ваша рука с пистолетом инстинктивно дергается.

Замечая это, Арройо приподнимает одну идеально ухоженную бровь. ""Успокойся. Просто хочу убедиться, что никто не подслушивает."" Он пролистывает серию нулевых показаний на датпаде и, удовлетворенный, откладывает его в сторону.

""Итак, Бэйрд получит взнос в другой раз. Чего вы хотите, Капитан $playerName?""","gaKA_arroyoBreakIn:""Мне нужно проникнуть в базу данных Министерства технологических стандартов.""
gaKA_arroyoTour:""Никаких светских разговоров? А как насчет экскурсии?""",
gaKAArroyoVisitTour,DialogOptionSelected,$option == gaKA_arroyoTour,,"""Нет,"" говорит он. Он делает вид, что оглядывается по сторонам, ""Разве вам не достаточно этого милого вида?"" 

""Сейчас я мог бы заняться чем угодно, кроме разговора с тобой, так что давай сделаем это быстро. Ты знаешь, что получаешь кое-что благодаря нашему общему 'другу'. Что это?""","gaKA_arroyoBreakIn:""Мне нужно проникнуть в базу данных Министерства технологических стандартов.""",
gaKAArroyoVisitBreakIn,DialogOptionSelected,$option == gaKA_arroyoBreakIn,,"Как только ты это произносишь, на лице Арройо появляется улыбка. Он начинает смеяться и его начинает бить в истерике. Он смеется, как будто привязан к ракете сумасшедшего, без возможности спастись. Так почему бы не насладиться поездкой?

Наконец, он в последний раз хлопает по ониксовой барной стойке и кладет голову на руки.","gaKA_arroyoAMoment:Дать ему минутку
gaKA_arroyoSerious:""Я серьезно, Арройо.""",
gaKAArroyoVisitSerious,DialogOptionSelected,$option == gaKA_arroyoSerious,,"""Конечно."" Он с минуту смотрит на виднеющиеся вдали зубчатые горы, а затем говорит с необычной безжизненностью: ""Мне просто не хотелось бы начинать третью войну ИИ.""",gaKA_arroyoAMoment:Продолжить,
gaKAArroyoVisitAMoment,DialogOptionSelected,$option == gaKA_arroyoAMoment,,"Он вздыхает и наливает что-то из хрустального графина в бокал, опустошает его. ""За сделку, которая все время ухудшается!"" 

Затем наливает еще. Он раздумывает мгновение, замечает вас и наклоняет графин, чтобы предложить вам выпить.","gaKA_arroyoDrinkDecline:Отказаться
gaKA_arroyoDrinkAccept:Выпить",
gaKAArroyoVisitDrinkNo,DialogOptionSelected,$option == gaKA_arroyoDrinkDecline,,"Он пожимает плечами и делает второй глоток. ""Держись Бэйрд. Вы познаете свои недостатки и исправите их"" говорит он.",gaKA_arroyoVisit4:Продолжить,
gaKAArroyoVisitDrinkYes,DialogOptionSelected,$option == gaKA_arroyoDrinkAccept,,"Арройо наливает еще, передает тебе стакан и с силой чокается своим стаканом с твоим. ""За Анахита Бэйрд!"" выкрикивает он.",gaKA_arroyoVisit4:Продолжить,
gaKAArroyoVisit4,DialogOptionSelected,$option == gaKA_arroyoVisit4,FireAll GAKAArroyoHub1,"Он со стуком ставит пустой стакан. ""Я знаю кое-кого, кто может это сделать. Они заноза в заднице, но главное, они достаточно сумасшедшие, чтобы выполнять такую глупую работу, которую вы предлагаете. Хакер по имени Горгулья - настоящий, а не один из подражателей. Мы и раньше занимались бизнесом. Вот его идентификатор связи."" Райан достает из кармана датакей, машет им над своим датападом и после пары нажатий толкает его к тебе.

""Если тебя оттолкнут, если Горгулья устроит небольшую истерику, просто верни ее, расскажи как она тебе нужна. Все дело в драме, как бы глупо это не было, но в конечном итоге вы уже втянуты в такую глупую работу, как эта."" Он поднимает руку вверх, ""Подробности, о которых, кстати, вам действительно не нужно было мне рассказывать. Последнее, чего я хочу, это чтобы контрразведка Гегемонии ползала по всей моей операции. Или, что еще хуже, какой-нибудь вампир из совета директоров Компании, почуявший кровь.""",,
gaKAArroyoVisitGargoyleOpt,GAKAArroyoHub1,!$gaKA_askedGargoyle,,,"gaKA_arroyoGargoyle:""Не могли бы вы рассказать мне больше об этой 'Горгулье'?""",
gaKAArroyoVisitBairdWhatOpt,GAKAArroyoHub1,!$gaKA_askedBaird,,,"gaKA_arroyoBairdWhat:""Кстати, что у Бэйрд на тебя?""",
gaKAArroyoVisitLeaveOpt,GAKAArroyoHub1,,,,gaKA_arroyoLeave:Покинуть,
gaKAArroyoVisitGargoyle,DialogOptionSelected,$option == gaKA_arroyoGargoyle,"$gaKA_askedGargoyle = true 0
FireAll GAKAArroyoHub1","Он бросает на тебя взгляд. ""Нет. Кого это волнует. Не имеет значения. Почти все, что вы услышите о Горгулье, выдумано и лишь половина из этого - правда. Так что не утруждайте себя раздумьями.""

Он откидывается назад, глядя в другое место, довольный тем, что может еще немного пообсуждать это. ""Важно то, что Горгулья всегда выполняет свою работу. Моя теория заключается в том, что это какая-то навязчивая идея мозга,"" он крутит рукой над головой, чтобы продемонстрировать. ""Вероятно, имплантировали кибермод неправильно и установили искусственный интеллект вместо лобной доли.""

""Повеселись с этим,"" говорит он с ухмылкой.",,
gaKAArroyoVisitBairdWhat,DialogOptionSelected,$option == gaKA_arroyoBairdWhat,"$gaKA_askedBaird = true 0
FireAll GAKAArroyoHub1","""То, что есть у Бэйрда, - это хорошая инвестиция и чем дольше она ждет-"" он машет рукой в сторону роскошной обстановки; карьера Райана Арройо ""-тем больше процентов она соберет.""

Пожимает плечами. ""Меня это устраивает. Мы все заключаем сделки, чтобы продвинуться вперед и я видел сделки и похуже. Поступал с другими хуже. К тому же, теперь я в активе. Вы не можете просто уничтожить актив, принадлежащий более крупному игроку."" 

Он поворачивается и смотрит прямо на тебя, ""И теперь ты тоже мой актив. Гипотетический вопрос - что у нее на тебя есть?"" Он холодно улыбается. ""Надеюсь, вы знаете.""",,
gaKAArroyoVisitLeave0,DialogOptionSelected,$option == gaKA_arroyoLeave,AddPotentialContact,"Вы получили то, что вам было нужно от Райана Арройо и без какого-либо сигнала с его стороны, который вы можете различить, его слуги-люди и роботы появляются снова.

""Я не скажу, что это было приятно, но если у вас когда-нибудь будет много кредитов, которые не знаете куда потратить, или хм, действительно исключительная возможность для бизнеса, давайте обменяемся криптоключами сейчас, чтобы вам больше не приходилось вытирать космическую пыль об мой ковер."" 

Он нажимает на свой датапад и предлагает его, а вы выполняете обыденный ритуал, который гарантирует, что любой, кто захочет взломать вашу личную линию связи, должен будет приложить некоторые усилия для выполнения этой задачи.",gaKA_arroyoLeave1:Продолжить,
gaKAArroyoVisitLeave1,DialogOptionSelected,$option == gaKA_arroyoLeave1,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
$global.gaKA_talkToGargoyle = true
Call $global.gaKA_ref updateStage","Ваш шаттл меняет предыдущий маршрут, спускаясь с высокогорья, через плато озер. Вы видите, как заводские гусеничные машины разбрасывают по ландшафту трубы и опоры монорельсовых дорог, оставляя за собой длинные колеи из рваной красной грязи.

Через скалистый хаос, маленькое холодное море, над горными трущобами, увенчанными сверкающими шпилями. Навигационные сигналы и шум связи перерастают в небольшой рев над сердцем Tri-Tachyon, и ваш шаттл доставляет вас обратно на орбиту.",gaKA_arroyoLeave2:Продолжить,
gaKAArroyoVisitLeave2,DialogOptionSelected,$option == gaKA_arroyoLeave2,FireAll PopulateOptions,,,
"# Gargoyle, initial conversation",,,,,,
gaKAGargoyleGreeting,PickGreeting,"$id == gargoyle
$gaKA_contact score:1000",ShowPersonVisual,"После подключения к локальной сети вы вводите идентификатор связи Горгульи, затем делаете паузу, прежде чем инициировать вызов. Вы смотрите на своего офицера связи и он кивает, готовый действовать.

Как только вы нажимаете вызов, пульт регистрации рэб загорается, как-будто ваш флот находится в туманности. Офицер управляет системами информационной безопасности с холодной эффективностью, координируя восстановление навигации, сенсоров и инженерных систем. 

Всего через полминуты шторм утихает, сигналы тревоги умолкают, ваш основной дисплей перестает выводить предупреждение об опасности и показывает сильно искаженное лицо, озорно ухмыляющееся вам.",gaKA_gargoyleCont1:Продолжить,
gaKAGargoyleGreeting1,DialogOptionSelected,$option == gaKA_gargoyleCont1,,"""Ты был готов ко встречи со мной!"" Гаргулья говорит слишком ласково, чтобы воспринимать это серьезно, затем обращается к воображаемой аудитории, ""Ракетный жокей собрал достаточно мозгов, чтобы справиться с моим маленьким 'привет'!"" Горгулья отскакивает от камеры и аплодирует вам, ""Отлично сработано!""

""Значит, ты знаешь, кто я. Скажи мне, почему Райан дал тебе мой номер? Опять подарки, взятки, попрошайничество? Неужели у него наконец-то возникли проблемы с той хунтой вампиров-кукловодов, которых он отчаянно желает видеть своими друзьями? Скрываетесь от закона и нуждаетесь в чистке репутации?""

Вдумчивая пауза. ""Вы всегда делаете такое лицо, когда встречаете новых людей?""","gaKA_gargoyleCont2:""У меня есть работа для вас. Мне сказали, что ты лучшая.""",
gaKAGargoyleGreeting2,DialogOptionSelected,$option == gaKA_gargoyleCont2,,"""Работа? Ох, нет,"" Горгулья театрально давится. ""Если я когда-нибудь хоть день 'поработаю', выбросьте меня из шлюза, а затем уничтожьте этот шлюз в черной дыре.""

Хакер небрежно откинулась назад, ""Но...я все еще слушаю. Потому что ты сказал мне, что я лучшая и это так. Однако я не уверена, что вы действительно понимаете, чем я занимаюсь."" 

Рука, усеянная точками интерфейса, взмахивает и ваш дисплей заполняется новостными роликами - остановка промышленности, подозрения в саботаже, взлом баз данных, утечка политических переписок, пропажа кредитов, флоты-призраки.",gaKA_gargoyleCont3:Продолжить,
gaKAGargoyleGreeting3,DialogOptionSelected,$option == gaKA_gargoyleCont3,,"""Что я делаю,"" Горгулья снова садится, наконец-то выглядя серьезной. ""Это волшебство."" 

""Институт, государство, военный корабль, флот, Гегемония! Церковь Luddic! Корпорация Tri-Tachyon, высасывающая Мега-кредиты! Это машины, сделанные из людей и эти люди не понимают своих собственных машин. Или,"" насмешливо-задумчивый тон, ""другие люди, если подумать. Единство этих священных конструкций - массовое заблуждение!""

""Но я,"" Горгулья нажимает на установленный на голове датапорт, ""Я понимаю. Просто,"" палец тычет в тебя с дисплея, ""Нажмите там. Вот, вот и пузырь лопается. Нажмите на нужное место, в неподходящее время и могучие станут грустной шуткой. Порыв ветра, вспышка фантазии, хрупкая оболочка, которая треснула. Понимаешь?""","gaKA_gargoyleYes:""Да, я понимаю.""
gaKA_gargoyleNotReally:""Не совсем.""
gaKA_gargoyleCanYou:""Можете ли вы взломать базу данных Министерства Гегемонии?""",
gaKAGargoyleYes,DialogOptionSelected,$option == gaKA_gargoyleYes,,"Горгулья смотрит на тебя, разинув рот. ""Нет, не знаешь. Ты просто притворяешься, потому что думаешь, что тебе нужно выглядеть крутым и умным перед своими приспешниками. Это так очевидно.""

Горгулья отворачивается, ""Почему я вообще переживаю. Продолжайте управлять своим ракетным кораблем, капитан $playerFirstName. Пью-пау-бам! Возьмите это, космические пираты! Простой. Прямой. Неискушенный. Бесхитростно.""

Драматический вздох, ""Какая пустая трата времени. Зачем мы вообще разговариваем. Зачем что-то делать.""","gaKA_gargoyleCanYou:""Можете ли вы взломать базу данных Министерства Гегемонии?""",
gaKAGargoyleNotReally,DialogOptionSelected,$option == gaKA_gargoyleNotReally,,"Горгулья печально смотрит, подперев подбородок руками. ""Я напрасно трачу на тебя время, $playerFirstName. Я пытаюсь, правда пытаюсь. Дай мне что-нибудь для работы. Пожалуйста? Иначе я могу просто заморозить себя на тысячу циклов. Может быть, к тому времени произойдет что-то интересное.""","gaKA_gargoyleCanYou:""Можете ли вы взломать базу данных Министерства Гегемонии?""",
gaKAGargoyleCanYou,DialogOptionSelected,$option == gaKA_gargoyleCanYou,,"""Мне это нравится!"" кричит Горгулья садясь. ""Великолепная схема, практически неоново-черная! Какой? Всех сразу? Хм,"" визор и кибермоды начинают активно мерцать.","gaKA_gargoyleExplain:""Подождите... только один, вообще-то."" (объяснить миссию)",
gaKAGargoyleExplain,DialogOptionSelected,$option == gaKA_gargoyleExplain,,"Вы объясняете Горгулье масштаб миссии и цель - Архив Каллихора, хранилище личных данных бывшего ректора Томаса Каллихора, которое Министерство технологических стандартов Гегемонии конфисковало у Академии Галатии в результате какого-то гиперпространственного эксперимента, который пошел не так. 

Вы также объясняете в дипломатических выражениях, избегая подробностей, что Райан Арройо будет финансировать операцию.",gaKA_gargoyleCont4:Продолжить,
gaKAGargoyleCont4,DialogOptionSelected,$option == gaKA_gargoyleCont4,,"По мере того, как вы говорите, дисплей связи с Горгульей становится переполненным виртуализированными наполовину написанными списками, ссылочными панелями и фрагментами кода. Хакер прыгает от идеи к идее, отвергая и предвидя непредвиденные обстоятельства на несколько шагов вперед - или от того, что вы не договариваете. Визуальный хаос несколько отвлекает.","gaKA_gargoyleCont5:""Тебе нужно немного времени?""
gaKA_gargoyleCont5a:""Можно ли это вообще сделать?""",
gaKAGargoyleCont5a,DialogOptionSelected,$option == gaKA_gargoyleCont5a,"$option = gaKA_gargoyleCont5 0
FireBest DialogOptionSelected",,,
gaKAGargoyleCont5,DialogOptionSelected,$option == gaKA_gargoyleCont5,,"""Это может быть непросто. Мне нужно будет переслать немного кредитов паре друзей, для некоторых особых трюков. Хмм. Будем ли мы выкладываться по полной? Райан угощает... Я думаю, что да. Да.""

""Вот как это произойдет - у меня есть друг, который передаст тебе небольшую посылку. Он должен быть готов к тому времени, когда вы доберетесь до Нова Максиоса, в системе Магек, вы знаете где это? Вы заберете её, а затем совершаете свой причудливый полет и все остальное, что потребуется, чтобы установить её в ретранслятор связи Гегемонии в системе Aztlan.""

""Установка должна быть простой, любая техническая обезьяна, работающая на вас, должна быть в состоянии понять, какой конец куда вставляется.""",gaKA_gargoyleCont6:Продолжить,
gaKAGargoyleCont6,DialogOptionSelected,$option == gaKA_gargoyleCont6,,"""Настоящий трюк начнется позже: нужно взломать криптографии Гегемонии. Это сделает ваш покорный слуга, у которого есть маленький трюк, который я приберегала пару циклов для подходящего момента."" Горгулья поднимает руки вверх в преждевременном проявлении триумфа. ""Это будет великолепно!"" Затем снова садится.

""Правильно, так. После того, как вы установите устройство взлома на ретранслятор связи, вернитесь сюда и вы сможете лично поблагодарить меня, когда я передам вам копию расшифрованных данных. И у друга-Райана есть мой список требований,"" нажимает кнопки, ""Сейчас.""",gaKA_gargoyleCont7:Продолжить,
gaKAGargoyleCont7,DialogOptionSelected,$option == gaKA_gargoyleCont7,,"Еще одно нажатие кнопки и на вашем датападе раздается сигнал, когда Горгулья отправляет вам адрес небольшого хранилища, рядом с главным портовым кольцом Nova Maxios, а также номер конкретной ячейки хранения. ""Он будет там,"" говорит Горгулья с улыбкой, которая, кажется, подразумевает, что ты не в курсе шутки.

""Теперь у меня много дел, нужно все подготовить, так что вперед! Комсек полностью взорвется, когда мы это провернем, ха-ха!""

Горгулья поворачивается к другому дисплею, сосредоточено, кибер-импланты мерцают с нарастающей скоростью, пока линия связи отключается.",gaKA_gargoyleCont8:Продолжить,
